# Candidate barrier compositions that exhibit 1% or less lattice mismatch on GaN
# and present extreme fields (>8 MV/cm) in 2 nm In0.3Ga0.7N quantum wells.
# These candidate compositions can be used as a starting point for tailoring the optical emission energy
# by tuning the well and barrier thicknesses.# The polarization fields were calculated for configurations with 18 nm barriers.
[Al] , [Ga] , [In] , P[MV/cm]
0.36 , 0.64 , 0.0 , 8.117181055637777
0.37 , 0.63 , 0.0 , 8.20781418036919
0.38 , 0.61 , 0.010000000000000009 , 8.012849831561034
0.38 , 0.62 , 0.0 , 8.29906815628188
0.39 , 0.6 , 0.010000000000000009 , 8.102823648679475
0.39 , 0.61 , 0.0 , 8.390945951728778
0.4 , 0.59 , 0.010000000000000009 , 8.193415939704613
0.4 , 0.6 , 0.0 , 8.483450550768692
0.41000000000000003 , 0.58 , 0.010000000000000009 , 8.284629664103793
0.41000000000000003 , 0.59 , 0.0 , 8.576584953262575
0.42 , 0.56 , 0.020000000000000018 , 8.087145913390543
0.42 , 0.5700000000000001 , 0.010000000000000009 , 8.376467797010877
0.43 , 0.55 , 0.020000000000000018 , 8.17769823334123
0.43 , 0.56 , 0.010000000000000009 , 8.468933329319663
0.44 , 0.54 , 0.020000000000000018 , 8.268872601100673
0.44 , 0.55 , 0.010000000000000009 , 8.562029267781451
0.45 , 0.52 , 0.030000000000000027 , 8.07013345258136
0.45 , 0.53 , 0.020000000000000018 , 8.360671998897299
0.45 , 0.54 , 0.010000000000000009 , 8.655758635100879
0.46 , 0.51 , 0.030000000000000027 , 8.160646670134343
0.46 , 0.52 , 0.020000000000000018 , 8.453099424777852
0.47000000000000003 , 0.5 , 0.030000000000000027 , 8.251782582735524
0.47000000000000003 , 0.51 , 0.020000000000000018 , 8.54615789270432
0.48 , 0.48 , 0.040000000000000036 , 8.05177132350276
0.48 , 0.49 , 0.030000000000000027 , 8.343544180029813
0.48 , 0.5 , 0.020000000000000018 , 8.639850432650219
0.49 , 0.47000000000000003 , 0.03999999999999998 , 8.14224631296663
0.49 , 0.48 , 0.030000000000000027 , 8.43593446754097
0.49 , 0.49 , 0.020000000000000018 , 8.734180090699452
0.5 , 0.46 , 0.03999999999999998 , 8.23334467810295
0.5 , 0.47000000000000003 , 0.02999999999999997 , 8.528956466768932
0.5 , 0.48 , 0.020000000000000018 , 8.82914992914372
0.51 , 0.44 , 0.04999999999999999 , 8.03204401929401
0.51 , 0.45 , 0.03999999999999998 , 8.325069416302094
0.51 , 0.46 , 0.02999999999999997 , 8.622613215287096
0.52 , 0.43 , 0.04999999999999999 , 8.122481660168319
0.52 , 0.44 , 0.03999999999999998 , 8.41742354089648
